3	10	6.339398	8.35873	1.309503	1.376073					8163050	8308482		
4	10	6.325935	8.094579	1.26771	1.301154					7762257	7993403		
5	10	6.067733	7.739039	1.445656	1.418514					4855304	5091350		
1	11	6.508826	9.283201	1.51488	1.482493					2056809	2144040		
2	11	6.389769	8.826202	1.458784	1.431924					5698095	5826776		
3	11	6.408008	8.542468	1.542994	1.427765					1.13e+07	1.16e+07		
4	11	6.280403	8.257154	1.384779	1.305857					9099413	9342370		
5	11	6.314164	7.923132	1.266981	1.24625					5557030	5753784		
1	12	6.149	9.87365	1.37391	1.191312					340075.1	340075.1		
2	12	6.688118	8.809313	1.331411	1.590273					447198.5	473431.5		
3	12	6.315377	8.710177	1.277932	1.28715					779790.4	799895.4		
4	12	6.51807	8.619314	1.374992	1.368679					687829.7	709437.7		
5	12	5.926761	7.96722	1.760874	1.3238					354192.5	354192.5		
