1	1	5.006242	6.180737	1.565923	1.671812	.7662479	937.7776	977.8268	.0674149	5824873	6302920	2042937	3762261	.2863964
2	1	4.955156	6.169817	1.512009	1.487471	.9111307	1083.349	1168.175	.0682597	5633860	6490248	3831169	6172464	.3612356
3	1	5.084478	6.213419	1.526981	1.611623	.959779	1097.512	1263.698	.0385463	7083147	7713377	4841013	8108739	.4368564
4	1	5.141703	6.480927	1.420635	1.469655	.968385	911.5275	927.2358	.0462069	7211885	7812394	4755167	8584653	.4904649
5	1	5.117536	6.289329	1.404192	1.399185	.9761516	1130.227	1456.553	.0573021	6924337	7936529	5089713	8221251	.4909869
1	2	5.15899	6.291688	1.626992	1.678654	.862551	923.0741	999.5778	.0737732	5451221	6028098	1934837	3655938	.3101909
2	2	5.074067	6.303046	1.486906	1.494758	.9530631	995.2181	950.9335	.0419591	6838819	7492452	3879201	7014509	.3947175
3	2	5.163665	6.588182	1.493949	1.539698	.978358	1175.105	1371.572	.0520817	7313488	7977531	3532960	7896967	.5315251
4	2	5.23575	6.522608	1.46812	1.554675	.9871801	1040.514	1355.499	.0563729	7516239	8230783	3154935	8456569	.6293401
5	2	5.191814	6.379442	1.479896	1.36621	.9941581	1247.181	1636.923	.0595201	7947323	8803703	3220038	8849242	.7234428
1	3	5.187773	6.401849	1.608375	1.707201	.898699	1168.232	1318.135	.0261055	5815234	6514623	2195785	4535652	.3464864
2	3	5.183276	6.544085	1.521022	1.628689	.9347444	1220.038	1519.876	.0567822	7482598	7936412	3012939	7381193	.4615495
3	3	5.324776	6.646106	1.48201	1.549744	.9814688	1161.576	1234.553	.0667925	7890915	8568660	2998983	8575981	.556017
4	3	5.37429	6.715928	1.471203	1.569384	.9904669	1199.56	1490.427	.0319385	8442643	9152657	2462409	8877504	.704206
5	3	5.360199	6.765548	1.381069	1.465261	.9974514	1380.259	1577.161	.0921714	9613559	1.02e+07	2227723	9258325	.846375
1	4	5.249898	6.515234	1.596535	1.701482	.8792448	957.5779	938.7617	.0852744	6249570	6966375	2322337	4582425	.3382736
2	4	5.367591	6.72316	1.485976	1.62919	.9648213	1247.317	1105.988	.0209961	7671168	8271207	2998990	7081927	.4804085
3	4	5.334244	6.825692	1.457414	1.422478	.9915718	1206.426	1461.452	.0425091	8336931	8867427	2262886	8429340	.6184117
4	4	5.30775	6.751176	1.444206	1.457186	.9923364	1161.213	1288.652	.064317	8767606	9376291	1578410	8811741	.7408954
5	4	5.451844	6.924466	1.457937	1.448354	.9959159	1035.568	1003.562	.0137076	9653137	1.02e+07	914541	8895346	.8668213
1	5	5.509247	6.813171	1.5917	1.774263	.9101464	1093.936	1026.398	.0658019	7950276	8442228	2872245	5306968	.3691487
2	5	5.55376	6.87388	1.480249	1.679283	.9754454	1238.543	1619.697	.0428573	8480585	8990460	3043141	8061910	.5039995
3	5	5.517957	6.912324	1.430712	1.561538	.9869792	1249.668	1294.896	.0484425	9565188	1.01e+07	2394414	8848320	.6401608
4	5	5.614573	6.979389	1.492881	1.54632	.9925858	1352.65	1805.726	.1139434	1.01e+07	1.07e+07	2230619	9182162	.7848257
5	5	5.630217	7.036085	1.490623	1.516145	.9957481	1355.469	2213.623	.0415351	1.05e+07	1.11e+07	1530501	9610092	.8088464
1	6	5.715983	7.104782	1.579423	1.763627	.9409481	1129.826	1181.25	.0541775	8368630	8810056	3068138	5479916	.4333275
2	6	5.695684	7.085382	1.413868	1.623361	.983375	1151.359	1290.501	.0491411	9618776	1.01e+07	3657182	8282094	.5287917
3	6	5.77178	7.137456	1.557543	1.72396	.9888448	1192.078	1239.727	.0615508	1.01e+07	1.06e+07	2837037	9069534	.7626026
4	6	5.827296	7.184665	1.371917	1.502734	.9970085	1563.147	1892.431	.0396591	1.04e+07	1.11e+07	1733734	8908903	.7797499
5	6	5.93751	7.338437	1.471551	1.460743	.997033	1199.067	1576.088	.0674533	1.09e+07	1.12e+07	1668308	9275537	.8448699
1	7	5.872571	7.232623	1.567005	1.815982	.9527414	1382.446	1784.438	.0762776	6949344	7263444	2748141	4805745	.4419475
2	7	5.890821	7.213628	1.471456	1.644598	.9872954	1125.535	1345.436	.0758573	8375436	8676876	2898096	6648131	.6972383
3	7	6.126415	7.634432	1.394504	1.544817	.9928683	1328.889	1594.801	.0271983	8521454	8781393	2434304	6919322	.8070106
4	7	6.085074	7.520089	1.41259	1.528018	.9953029	1623.984	2028.711	.0589377	8599200	8904521	1687330	6558771	.878428
5	7	6.216673	7.640209	1.392768	1.50335	1	1418.499	1652.615	.0930502	9206120	9479625	1400137	7210323	.873039
1	8	5.825505	7.223972	1.535832	1.728106	.9581687	1613.54	1997.691	.1778808	4867109	4972462	1656245	3193131	.5085942
2	8	6.229668	7.674921	1.374081	1.604136	.9885964	1198.311	1358.823	.0626642	5608854	5788918	1388914	3701108	.7487447
3	8	6.190444	7.601614	1.486849	1.710309	.9991371	2125.953	2766.732	.1060632	5862182	5907115	1347373	4187591	.7968359
4	8	6.268341	7.829338	1.370153	1.520202	.9902899	1180.838	2068.646	.1111832	5913068	5995484	1039932	3669729	.8928056
5	8	6.359776	7.796509	1.4424	1.559504	1	2450.517	3545.748	.1675398	6328382	6375195	1292686	4366679	.9235539
